Groups:
data_out_pin[7..0] =, data_out_pin[7], data_out_pin[6], data_out_pin[5], data_out_pin[4], data_out_pin[3], data_out_pin[2], data_out_pin[1], data_out_pin[0],  hex
instrCounter[15..0] =, instrCounter[15], instrCounter[14], instrCounter[13], instrCounter[12], instrCounter[11], instrCounter[10], instrCounter[9], instrCounter[8], instrCounter[7], instrCounter[6], instrCounter[5], instrCounter[4], instrCounter[3], instrCounter[2], instrCounter[1], instrCounter[0],  hex
counter[7..0] =, counter[7], counter[6], counter[5], counter[4], counter[3], counter[2], counter[1], counter[0],  hex
com[9..0] =, com[9], com[8], com[7], com[6], com[5], com[4], com[3], com[2], com[1], com[0],  hex
data_out_reg[7..0] =, data_out_reg[7], data_out_reg[6], data_out_reg[5], data_out_reg[4], data_out_reg[3], data_out_reg[2], data_out_reg[1], data_out_reg[0],  hex

Data:
time unit: ns, rs_pin, rw_pin, data_out_pin[7..0], data_out_pin[7], data_out_pin[6], data_out_pin[5], data_out_pin[4], data_out_pin[3], data_out_pin[2], data_out_pin[1], data_out_pin[0], busyTick, test~reg0, busy_signal_storage, enable_pin, instrCounter[15..0], instrCounter[15], instrCounter[14], instrCounter[13], instrCounter[12], instrCounter[11], instrCounter[10], instrCounter[9], instrCounter[8], instrCounter[7], instrCounter[6], instrCounter[5], instrCounter[4], instrCounter[3], instrCounter[2], instrCounter[1], instrCounter[0], counter[7..0], counter[7], counter[6], counter[5], counter[4], counter[3], counter[2], counter[1], counter[0], go_pin, start, com[9..0], com[9], com[8], com[7], com[6], com[5], com[4], com[3], com[2], com[1], com[0], data_out_reg[7..0], data_out_reg[7], data_out_reg[6], data_out_reg[5], data_out_reg[4], data_out_reg[3], data_out_reg[2], data_out_reg[1], data_out_reg[0], test, 
0, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
20, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
40, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
60, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
80, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
100, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
120, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
140, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
160, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
180, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
200, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
220, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
240, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
260, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
280, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
300, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
320, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
340, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
360, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
380, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
400, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
420, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
440, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
460, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
480, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
500, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
520, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
540, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
560, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
580, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
600, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, 
